model_s,model_l,speedup,b,c,accept_rate,dsp_thr,base_thr,slm_thr,gamma,rtt_ms,bw_Mbps,prompt_len,t_ar_slm,t_ar_llm
,,1.62,1.3,0.0,0.352,13.65,8.44,320.13,4,20.0,50.0,128,0.4,15.28
,,1.63,1.3,0.0,0.352,13.56,8.31,315.43,4,20.0,100.0,128,0.41,15.53
,,1.49,3.2,0.0,0.352,12.38,8.29,304.44,4,50.0,50.0,128,0.42,15.56
,,1.51,3.3,0.0,0.352,12.45,8.27,314.35,4,50.0,100.0,128,0.41,15.6
,,1.37,1.4,0.0,0.189,11.35,8.26,310.4,6,20.0,50.0,128,0.42,15.61
,,1.37,1.4,0.0,0.189,11.33,8.27,303.38,6,20.0,100.0,128,0.43,15.59
,,1.26,3.6,0.0,0.189,10.46,8.28,310.23,6,50.0,50.0,128,0.42,15.59
,,1.31,3.8,0.0,0.189,10.82,8.25,327.1,6,50.0,100.0,128,0.39,15.64
