model_s,model_l,speedup,b,c,accept_rate,dsp_thr,base_thr,slm_thr,gamma,rtt_ms,bw_Mbps,prompt_len,t_ar_slm,t_ar_llm
opt-125m,opt-125m,0.21,0.0,1.0,1.0,13.7,64.61,66.78,2,0.0,10.0,128,1.93,2.0
opt-125m,opt-125m,0.19,0.0,1.3,1.0,13.15,69.59,54.03,2,0.0,50.0,128,2.39,1.85
opt-125m,opt-125m,0.24,0.0,0.9,1.0,18.49,76.69,83.63,2,0.0,100.0,128,1.54,1.68
opt-125m,opt-125m,0.2,0.1,1.0,1.0,13.88,70.07,72.82,2,20.0,10.0,128,1.77,1.84
opt-125m,opt-125m,0.2,0.1,1.3,1.0,13.04,65.24,50.4,2,20.0,50.0,128,2.56,1.98
opt-125m,opt-125m,0.22,0.1,0.9,1.0,15.07,69.42,74.12,2,20.0,100.0,128,1.74,1.86
opt-125m,opt-125m,0.2,0.3,0.9,1.0,12.84,63.23,73.48,2,50.0,10.0,128,1.76,2.04
opt-125m,opt-125m,0.2,0.3,0.9,1.0,12.06,61.37,67.41,2,50.0,50.0,128,1.91,2.1
opt-125m,opt-125m,0.2,0.3,1.0,1.0,12.92,64.93,62.11,2,50.0,100.0,128,2.08,1.99
opt-125m,opt-125m,0.33,0.0,0.8,1.0,17.15,51.67,67.24,4,0.0,10.0,128,1.92,2.5
opt-125m,opt-125m,0.26,0.0,1.0,1.0,15.53,60.14,62.94,4,0.0,50.0,128,2.05,2.14
opt-125m,opt-125m,0.24,0.0,0.9,1.0,17.29,70.79,77.01,4,0.0,100.0,128,1.68,1.82
opt-125m,opt-125m,0.29,0.1,1.2,1.0,19.55,66.46,53.99,4,20.0,10.0,128,2.39,1.94
opt-125m,opt-125m,0.27,0.1,1.2,1.0,16.73,62.52,53.31,4,20.0,50.0,128,2.42,2.06
opt-125m,opt-125m,0.27,0.1,1.0,1.0,20.7,76.04,76.77,4,20.0,100.0,128,1.68,1.7
opt-125m,opt-125m,0.24,0.1,0.7,1.0,14.71,62.58,83.55,4,50.0,10.0,128,1.54,2.06
opt-125m,opt-125m,0.22,0.2,0.9,1.0,16.12,72.23,77.93,4,50.0,50.0,128,1.66,1.79
opt-125m,opt-125m,0.23,0.2,0.9,1.0,15.36,66.08,72.0,4,50.0,100.0,128,1.79,1.95
opt-125m,opt-125m,0.34,0.0,1.0,1.0,22.17,65.31,67.61,6,0.0,10.0,128,1.91,1.98
opt-125m,opt-125m,0.29,0.0,1.0,1.0,22.3,77.22,75.17,6,0.0,50.0,128,1.72,1.67
opt-125m,opt-125m,0.26,0.0,1.0,1.0,18.65,71.7,71.23,6,0.0,100.0,128,1.81,1.8
opt-125m,opt-125m,0.3,0.0,0.9,1.0,19.51,65.38,68.92,6,20.0,10.0,128,1.87,1.97
opt-125m,opt-125m,0.27,0.0,1.0,1.0,17.84,65.13,65.48,6,20.0,50.0,128,1.97,1.98
opt-125m,opt-125m,0.46,0.1,0.9,1.0,29.64,64.92,71.98,6,20.0,100.0,128,1.79,1.99
opt-125m,opt-125m,0.3,0.1,0.8,1.0,16.63,55.97,68.63,6,50.0,10.0,128,1.88,2.3
opt-125m,opt-125m,0.26,0.1,1.2,1.0,19.23,74.15,61.01,6,50.0,50.0,128,2.11,1.74
opt-125m,opt-125m,0.32,0.1,1.2,1.0,23.81,74.1,61.67,6,50.0,100.0,128,2.09,1.74
opt-125m,opt-125m,0.32,0.0,0.8,1.0,19.75,61.07,72.41,8,0.0,10.0,128,1.78,2.11
opt-125m,opt-125m,0.36,0.0,1.0,1.0,20.47,57.16,55.52,8,0.0,50.0,128,2.32,2.26
opt-125m,opt-125m,0.36,0.0,1.0,1.0,25.02,68.67,70.09,8,0.0,100.0,128,1.84,1.88
opt-125m,opt-125m,0.3,0.0,1.2,1.0,20.08,66.9,55.52,8,20.0,10.0,128,2.32,1.93
opt-125m,opt-125m,0.4,0.0,1.0,1.0,23.09,57.87,60.28,8,20.0,50.0,128,2.14,2.23
opt-125m,opt-125m,0.3,0.0,1.1,1.0,20.54,67.81,61.36,8,20.0,100.0,128,2.1,1.9
opt-125m,opt-125m,0.35,0.1,0.9,1.0,19.47,55.29,62.96,8,50.0,10.0,128,2.05,2.33
opt-125m,opt-125m,0.28,0.1,1.3,1.0,17.96,64.32,49.63,8,50.0,50.0,128,2.6,2.01
opt-125m,opt-125m,0.3,0.1,1.2,1.0,18.3,61.67,52.37,8,50.0,100.0,128,2.46,2.09
opt-125m,opt-1.3b,0.4,0.0,0.5,0.708,11.13,28.16,62.3,2,0.0,10.0,128,2.07,4.58
opt-125m,opt-1.3b,0.42,0.0,0.4,0.708,11.32,26.74,60.86,2,0.0,50.0,128,2.12,4.82
opt-125m,opt-1.3b,0.38,0.0,0.5,0.708,10.19,26.77,59.43,2,0.0,100.0,128,2.17,4.82
