model_s,model_l,speedup,b,c,accept_rate,dsp_thr,base_thr,slm_thr,gamma,rtt_ms,bw_Mbps,prompt_len,t_ar_slm,t_ar_llm
opt-125m,opt-6.7b,0.32,0.0,2.0,0.392,2.41,7.66,3.88,6,20.0,10.0,128,33.25,16.85
opt-125m,opt-6.7b,0.28,0.0,1.3,0.392,2.14,7.66,5.81,6,20.0,50.0,128,22.22,16.85
opt-125m,opt-6.7b,0.41,0.0,1.0,0.392,3.12,7.68,7.81,6,20.0,100.0,128,16.52,16.81
opt-125m,opt-6.7b,0.39,0.0,1.3,0.392,3.01,7.69,5.84,6,50.0,10.0,128,22.09,16.77
opt-125m,opt-6.7b,0.42,0.0,1.6,0.392,3.22,7.65,4.84,6,50.0,50.0,128,26.63,16.86
opt-125m,opt-6.7b,0.41,0.0,0.9,0.392,3.16,7.65,8.92,6,50.0,100.0,128,14.46,16.87
opt-125m,opt-6.7b,0.33,0.0,0.9,0.268,2.53,7.65,8.68,8,0.0,10.0,128,14.86,16.86
opt-125m,opt-6.7b,0.33,0.0,0.7,0.268,2.54,7.62,10.8,8,0.0,50.0,128,11.95,16.93
opt-125m,opt-6.7b,0.28,0.0,1.0,0.268,2.12,7.57,7.28,8,0.0,100.0,128,17.71,17.05
opt-125m,opt-6.7b,0.27,0.0,0.8,0.268,2.05,7.66,9.25,8,20.0,10.0,128,13.94,16.85
opt-125m,opt-6.7b,0.24,0.0,1.2,0.268,1.84,7.69,6.52,8,20.0,50.0,128,19.79,16.78
opt-125m,opt-6.7b,0.27,0.0,0.7,0.268,2.05,7.55,10.2,8,20.0,100.0,128,12.65,17.1
opt-125m,opt-6.7b,0.27,0.0,0.7,0.268,2.06,7.58,11.6,8,50.0,10.0,128,11.12,17.03
opt-125m,opt-6.7b,0.32,0.0,0.9,0.268,2.4,7.6,8.61,8,50.0,50.0,128,14.99,16.98
opt-125m,opt-6.7b,0.49,0.0,0.6,0.268,3.81,7.71,12.61,8,50.0,100.0,128,10.23,16.73
opt-125m,opt-13b,1.26,0.0,0.4,0.685,5.4,4.27,12.15,2,0.0,10.0,128,10.62,30.21
opt-125m,opt-13b,1.3,0.0,0.3,0.685,5.56,4.29,12.64,2,0.0,50.0,128,10.21,30.1
opt-125m,opt-13b,1.29,0.0,0.3,0.685,5.54,4.29,12.26,2,0.0,100.0,128,10.52,30.07
opt-125m,opt-13b,1.25,0.1,0.3,0.685,5.37,4.28,12.72,2,20.0,10.0,128,10.14,30.13
