model_s,model_l,speedup,b,c,accept_rate,dsp_thr,base_thr,gamma,rtt_ms,bw_Mbps,prompt_len

(Homogenuesou exp)
opt-125m,opt-6.7b,0.86,0.0,0.1,0.395,6.27,7.33,83.83,4,0.0,100.0,128,1.54,17.61
opt-125m,opt-6.7b,0.92,0.1,0.1,0.395,6.87,7.46,58.73,4,20.0,10.0,128,2.2,17.29
opt-125m,opt-6.7b,0.98,0.1,0.1,0.395,7.21,7.34,55.6,4,20.0,50.0,128,2.32,17.57
opt-125m,opt-6.7b,0.82,0.1,0.1,0.395,6.18,7.52,69.29,4,20.0,100.0,128,1.86,17.16
opt-125m,opt-6.7b,0.86,0.2,0.1,0.395,6.32,7.39,78.15,4,50.0,10.0,128,1.65,17.47
opt-125m,opt-6.7b,0.82,0.2,0.1,0.395,6.04,7.4,62.57,4,50.0,50.0,128,2.06,17.44
opt-125m,opt-6.7b,0.8,0.2,0.1,0.395,5.86,7.37,60.91,4,50.0,100.0,128,2.12,17.5
opt-125m,opt-6.7b,0.89,0.0,0.1,0.392,6.56,7.4,75.51,6,0.0,10.0,128,1.71,17.43
opt-125m,opt-6.7b,0.99,0.0,0.1,0.392,7.29,7.36,58.46,6,0.0,50.0,128,2.21,17.53
opt-125m,opt-6.7b,1.02,0.0,0.1,0.392,7.55,7.41,60.82,6,0.0,100.0,128,2.12,17.41
opt-125m,opt-6.7b,0.96,0.1,0.1,0.392,7.02,7.34,70.15,6,20.0,10.0,128,1.84,17.58
opt-125m,opt-6.7b,1.38,0.1,0.1,0.392,10.08,7.33,68.17,6,20.0,50.0,128,1.89,17.59
opt-125m,opt-6.7b,0.92,0.0,0.1,0.392,6.76,7.38,72.68,6,20.0,100.0,128,1.77,17.47
opt-125m,opt-6.7b,0.91,0.1,0.1,0.392,6.73,7.42,73.71,6,50.0,10.0,128,1.75,17.39
opt-125m,opt-6.7b,0.9,0.1,0.1,0.392,6.64,7.36,82.94,6,50.0,50.0,128,1.56,17.52
opt-125m,opt-6.7b,1.15,0.2,0.1,0.392,8.41,7.34,59.03,6,50.0,100.0,128,2.19,17.58
opt-125m,opt-6.7b,0.86,0.0,0.1,0.288,6.46,7.48,60.27,8,0.0,10.0,128,2.14,17.24
opt-125m,opt-6.7b,0.95,0.0,0.1,0.288,6.98,7.35,72.84,8,0.0,50.0,128,1.77,17.55
opt-125m,opt-6.7b,0.93,0.0,0.1,0.288,6.77,7.25,49.17,8,0.0,100.0,128,2.62,17.78
opt-125m,opt-6.7b,1.13,0.1,0.1,0.288,8.4,7.41,61.59,8,20.0,10.0,128,2.09,17.42
opt-125m,opt-6.7b,0.88,0.0,0.1,0.288,6.47,7.36,67.45,8,20.0,50.0,128,1.91,17.52


opt-125m,opt-13b,1.0,0.3,0.1,0.47,4.18,4.16,56.21,2,50.0,50.0,128,2.29,30.99
opt-125m,opt-13b,1.03,0.3,0.1,0.47,4.25,4.14,75.79,2,50.0,100.0,128,1.7,31.19
opt-125m,opt-13b,1.22,0.0,0.1,0.375,5.02,4.13,50.85,4,0.0,10.0,128,2.54,31.25
opt-125m,opt-13b,1.31,0.0,0.1,0.375,5.42,4.15,62.21,4,0.0,50.0,128,2.07,31.11
