model_s,model_l,speedup,b,c,accept_rate,dsp_thr,base_thr,slm_thr,gamma,rtt_ms,bw_Mbps,prompt_len,t_ar_slm,t_ar_llm
125m,opt-13b,2.0,1.0,0.0,0.349,9.0,4.5,121.24,6,50.0,10.0,128,1.06,28.68

125m,opt-13b,1.98,0.0,0.0,0.215,8.76,4.42,128.89,8,0.0,100.0,128,1.0,29.21
125m,opt-13b,1.99,0.0,0.0,0.215,8.77,4.42,157.68,8,0.0,50.0,128,0.82,29.2
125m,opt-13b,2.01,0.0,0.0,0.215,8.89,4.42,132.31,8,0.0,100.0,128,0.97,29.2


125m,opt-13b,1.95,0.6,0.0,0.215,8.58,4.41,159.19,8,20.0,100.0,128,0.81,29.26
125m,opt-13b,1.93,0.5,0.0,0.215,8.52,4.41,149.78,8,20.0,50.0,128,0.86,29.24
125m,opt-13b,1.96,0.6,0.0,0.215,8.66,4.42,157.15,8,20.0,100.0,128,0.82,29.21

125m,opt-13b,1.87,1.4,0.0,0.215,8.26,4.42,157.96,8,50.0,100.0,128,0.82,29.17
125m,opt-13b,1.91,1.4,0.0,0.215,8.41,4.41,156.33,8,50.0,50.0,128,0.83,29.24
125m,opt-13b,1.83,1.4,0.0,0.215,8.06,4.41,154.73,8,50.0,100.0,128,0.83,29.24
