model_s,model_l,speedup,b,c,accept_rate,dsp_thr,base_thr,gamma,rtt_ms,bw_Mbps,prompt_len
opt-125m,opt-1.3b,0.85,0.072,3.21,0.583,28.26,33.06,4,10.0,0.01,80
opt-125m,opt-1.3b,0.26,0.018,5.034,0.491,7.56,29.61,4,10.0,0.01,80
opt-125m,opt-6.7b,1.63,0.2,0.1,0.395,12.36,7.59,94.87,4,20.0,100.0,128,1.357755432128906,17.007092714309692
