model_s,model_l,speedup,b,c,accept_rate,dsp_thr,base_thr,gamma,rtt_ms,bw_Mbps,prompt_len
opt-125m,opt-1.3b,0.7,0.0,3.239,0.281,19.7,28.21,8,0.0,50.0,100
opt-125m,opt-1.3b,0.71,0.0,3.1,0.281,20.11,28.41,8,0.0,100.0,100
opt-125m,opt-1.3b,0.66,0.091,3.199,0.281,18.65,28.32,8,20.0,10.0,100
opt-125m,opt-1.3b,0.64,0.082,3.313,0.281,17.06,26.84,8,20.0,50.0,100
opt-125m,opt-1.3b,0.67,0.092,3.206,0.281,18.72,28.1,8,20.0,100.0,100
opt-125m,opt-1.3b,0.65,0.24,3.745,0.281,18.35,28.42,8,50.0,10.0,100
opt-125m,opt-1.3b,0.62,0.229,3.616,0.281,17.44,28.23,8,50.0,50.0,100
opt-125m,opt-1.3b,0.57,0.203,3.699,0.281,15.99,28.27,8,50.0,100.0,100


opt-125m,opt-6.7b,1.5,0.0,1.36,0.541,11.52,7.69,2,0.0,10.0,100
opt-125m,opt-6.7b,1.57,0.0,1.355,0.541,12.02,7.66,2,0.0,50.0,100
opt-125m,opt-6.7b,1.52,0.0,1.33,0.541,11.71,7.68,2,0.0,100.0,100
opt-125m,opt-6.7b,1.43,0.225,1.406,0.541,10.97,7.69,2,20.0,10.0,100
opt-125m,opt-6.7b,1.45,0.213,1.44,0.541,11.09,7.67,2,20.0,50.0,100
opt-125m,opt-6.7b,1.47,0.222,1.429,0.541,11.26,7.68,2,20.0,100.0,100
opt-125m,opt-6.7b,1.32,0.544,1.53,0.541,10.1,7.66,2,50.0,10.0,100
opt-125m,opt-6.7b,1.35,0.585,1.514,0.541,10.36,7.68,2,50.0,50.0,100
opt-125m,opt-6.7b,1.31,0.519,1.553,0.541,10.08,7.66,2,50.0,100.0,100
opt-125m,opt-6.7b,1.6,0.0,1.493,0.375,12.25,7.64,4,0.0,10.0,100
opt-125m,opt-6.7b,1.55,0.0,1.532,0.375,11.74,7.59,4,0.0,50.0,100
opt-125m,opt-6.7b,1.64,0.0,1.46,0.375,12.55,7.67,4,0.0,100.0,100
opt-125m,opt-6.7b,1.55,0.157,1.538,0.375,11.82,7.64,4,20.0,10.0,100
opt-125m,opt-6.7b,1.51,0.148,1.563,0.375,11.55,7.66,4,20.0,50.0,100
opt-125m,opt-6.7b,1.5,0.143,1.578,0.375,11.41,7.59,4,20.0,100.0,100
opt-125m,opt-6.7b,1.44,0.381,1.677,0.375,11.09,7.69,4,50.0,10.0,100
opt-125m,opt-6.7b,1.34,0.307,1.768,0.375,10.17,7.58,4,50.0,50.0,100
opt-125m,opt-6.7b,1.43,0.373,1.672,0.375,10.86,7.58,4,50.0,100.0,100
opt-125m,opt-6.7b,1.6,0.0,1.705,0.354,12.18,7.59,6,0.0,10.0,100
opt-125m,opt-6.7b,1.67,0.0,1.643,0.354,12.77,7.67,6,0.0,50.0,100
opt-125m,opt-6.7b,1.61,0.0,1.7,0.354,12.18,7.58,6,0.0,100.0,100
opt-125m,opt-6.7b,1.64,0.113,1.661,0.354,12.57,7.67,6,20.0,10.0,100
opt-125m,opt-6.7b,1.62,0.107,1.696,0.354,12.35,7.63,6,20.0,50.0,100
